"X","Y","C1hA","0kxZ","tvMX","OlYb","7rk5","F39L","VNSF","tkxI"
"2.0","8.0","-66","-92","-84","-84","-92","-93","-98","-96"
"2.0","8.0","-66","-94","-84","-84","-94","-93","-98","-96"
"2.0","8.0","-66","-94","-84","-84","-94","-93","-98","-100"
"2.0","8.0","-66","-94","-84","-84","-94","-80","-98","-100"
"2.0","8.0","-66","-94","-84","-84","-94","-74","-98","-100"
"2.0","8.0","-66","-94","-84","-84","-92","-74","-98","-100"
"2.0","8.0","-66","-97","-81","-84","-91","-74","-98","-97"
"2.0","8.0","-70","-97","-84","-84","-91","-74","-96","-97"
"2.0","8.0","-70","-97","-84","-86","-91","-74","-96","-97"
"2.0","8.0","-70","-97","-84","-86","-91","-74","-96","-97"
"2.0","8.0","-70","-97","-84","-86","-95","-74","-96","-97"
"2.0","8.0","-66","-97","-81","-85","-96","-80","-100","-99"
"2.0","8.0","-66","-97","-81","-85","-96","-80","-95","-98"
"2.0","8.0","-66","-95","-81","-85","-96","-80","-95","-98"
"2.0","8.0","-66","-93","-81","-96","-96","-76","-95","-98"
"2.0","8.0","-65","-93","-81","-95","-91","-76","-95","-98"
"2.0","8.0","-65","-93","-81","-95","-91","-76","-102","-98"
"2.0","8.0","-65","-94","-81","-95","-91","-76","-96","-98"
"2.0","8.0","-65","-97","-81","-86","-91","-76","-96","-100"
"2.0","8.0","-65","-95","-81","-86","-91","-76","-96","-100"
"2.0","8.0","-65","-93","-81","-86","-91","-76","-96","-100"
"2.0","8.0","-65","-93","-83","-95","-91","-76","-96","-100"
"2.0","8.0","-65","-99","-83","-95","-96","-95","-96","-100"
"2.0","8.0","-65","-94","-83","-95","-96","-95","-96","-100"
"2.0","8.0","-65","-94","-83","-94","-96","-95","-96","-100"
"2.0","8.0","-65","-94","-83","-94","-92","-76","-96","-100"
"2.0","8.0","-65","-94","-83","-86","-92","-76","-98","-100"
"2.0","8.0","-70","-94","-83","-86","-92","-76","-98","-98"
"2.0","8.0","-70","-94","-82","-86","-92","-76","-98","-98"
